Number        Region        Date          Confirmed     Dead          Recovered     
             3Dnipropetrovsk    11.03.2020             0             0             0
             3Dnipropetrovsk    12.03.2020             0             0             0
             3Dnipropetrovsk    13.03.2020             0             0             0
             3Dnipropetrovsk    14.03.2020             0             0             0
             3Dnipropetrovsk    15.03.2020             0             0             0
             3Dnipropetrovsk    16.03.2020             0             0             0
             3Dnipropetrovsk    17.03.2020             0             0             0
             3Dnipropetrovsk    18.03.2020             0             0             0
             3Dnipropetrovsk    19.03.2020             2             0             0
             3Dnipropetrovsk    20.03.2020             0             0             0
             3Dnipropetrovsk    21.03.2020             0             0             0
             3Dnipropetrovsk    22.03.2020             0             0             0
             3Dnipropetrovsk    23.03.2020             0             0             0
             3Dnipropetrovsk    24.03.2020             0             0             0
             3Dnipropetrovsk    25.03.2020             1             0             0
             3Dnipropetrovsk    26.03.2020             0             0             0
             3Dnipropetrovsk    27.03.2020             3             0             0
             3Dnipropetrovsk    28.03.2020             0             0             0
             3Dnipropetrovsk    29.03.2020             2             0             0
             3Dnipropetrovsk    30.03.2020             1             0             1
             3Dnipropetrovsk    31.03.2020             0             0             0
             3Dnipropetrovsk    01.04.2020             1             0             0
             3Dnipropetrovsk    02.04.2020             2             0             0
             3Dnipropetrovsk    03.04.2020             2             0             2
             3Dnipropetrovsk    04.04.2020             0             0             1
             3Dnipropetrovsk    05.04.2020             0             0             0
             3Dnipropetrovsk    06.04.2020            12             0             0
             3Dnipropetrovsk    07.04.2020            15             0             0
             3Dnipropetrovsk    08.04.2020             1             0             0
             3Dnipropetrovsk    09.04.2020            10             0             0
             3Dnipropetrovsk    10.04.2020             3             0             1
             3Dnipropetrovsk    11.04.2020             3             0             3
             3Dnipropetrovsk    12.04.2020             2             0             0
             3Dnipropetrovsk    13.04.2020            12             0             0
             3Dnipropetrovsk    14.04.2020             5             1             0
             3Dnipropetrovsk    15.04.2020             8             0             0
             3Dnipropetrovsk    16.04.2020            16             0             1
             3Dnipropetrovsk    17.04.2020             5             0             0
             3Dnipropetrovsk    18.04.2020             6             0             0
             3Dnipropetrovsk    19.04.2020             8             0             0
             3Dnipropetrovsk    20.04.2020             4             0             0
             3Dnipropetrovsk    21.04.2020            27             0             0
             3Dnipropetrovsk    22.04.2020            38             0             3
